TS,ID,Delta1
SK.FR,0.39999999999997726,1636387200000
LOUP.FR,-0.4000000000000057,1636387200000
SAF.FR,-0.5999999999999943,1636387200000
RI.FR,-0.6999999999999886,1636387200000
TEP.FR,-0.7000000000000455,1636387200000
BUR.FR,-4.0,1636387200000
LPE.FR,1.6000000000000085,1636389000000
WAGA.FR,0.7000000000000028,1636389000000
FAST.NL,0.7000000000000028,1636389000000
LR.FR,0.2600000000000051,1636389000000
NK.FR,0.21999999999999886,1636389000000
TEP.FR,-0.6000000000000227,1636389000000
KER.FR,-0.7999999999999545,1636389000000
MC.FR,-0.8999999999999773,1636389000000
RMS.FR,-1.5,1636389000000
ADYEN.NL,-6.0,1636389000000
LPE.FR,1.3999999999999915,1636390800000
LOUP.FR,0.8000000000000114,1636390800000
ALFEN.NL,0.7000000000000028,1636390800000
VETO.FR,0.5999999999999943,1636390800000
LR.FR,0.519999999999996,1636390800000
WAGA.FR,-0.5,1636390800000
KER.FR,-0.6000000000000227,1636390800000
MC.FR,-1.7000000000000455,1636390800000
ODET.FR,-5.0,1636390800000
ADYEN.NL,-5.5,1636390800000
PHIA.NL,0.0,1636392600000
VIE.FR,0.0,1636392600000
AGN.NL,0.0,1636392600000
OSE.FR,0.0,1636392600000
ALECO.FR,0.0,1636392600000
HEIO.NL,0.0,1636392600000
RXL.FR,0.0,1636392600000
LOCAL.FR,0.0,1636392600000
SLB.FR,0.0,1636392600000
MT.NL,-0.004999999999999005,1636392600000
TEP.FR,3.2999999999999545,1636448400000
SAF.FR,1.8200000000000074,1636448400000
VETO.FR,1.8000000000000114,1636448400000
KER.FR,1.2000000000000455,1636448400000
HDG.NL,1.2000000000000028,1636448400000
SCHP.FR,-0.7999999999999972,1636448400000
FAST.NL,-1.0,1636448400000
RMS.FR,-4.0,1636448400000
ODET.FR,-5.0,1636448400000
ADYEN.NL,-5.0,1636448400000
KER.FR,4.100000000000023,1636450200000
WAVE.FR,0.6000000000000014,1636450200000
VETO.FR,0.5999999999999943,1636450200000
OCI.NL,0.3999999999999986,1636450200000
FAST.NL,0.3999999999999986,1636450200000
RNL.FR,-0.9900000000000091,1636450200000
TEP.FR,-1.7000000000000455,1636450200000
MC.FR,-1.8000000000000682,1636450200000
RMS.FR,-7.0,1636450200000
ADYEN.NL,-22.5,1636450200000
RMS.FR,10.0,1636452000000
KER.FR,8.799999999999955,1636452000000
ODET.FR,5.0,1636452000000
MC.FR,2.7000000000000455,1636452000000
TEP.FR,1.8000000000000114,1636452000000
SU.FR,-0.45999999999997954,1636452000000
MF.FR,-0.5,1636452000000
ORP.FR,-0.519999999999996,1636452000000
SAF.FR,-0.5999999999999943,1636452000000
ADYEN.NL,-18.5,1636452000000
TEP.FR,1.3999999999999773,1636453800000
SAF.FR,0.6799999999999926,1636453800000
TKWY.NL,0.5,1636453800000
SW.FR,0.5,1636453800000
RI.FR,0.5,1636453800000
EL.FR,-0.3199999999999932,1636453800000
VETO.FR,-0.4000000000000057,1636453800000
RMS.FR,-1.5,1636453800000
ODET.FR,-5.0,1636453800000
ADYEN.NL,-9.5,1636453800000
RMS.FR,7.5,1636455600000
ODET.FR,5.0,1636455600000
KER.FR,2.6000000000000227,1636455600000
MC.FR,1.8999999999999773,1636455600000
HOLCO.NL,1.0,1636455600000
ORP.FR,-0.4399999999999977,1636455600000
HDG.NL,-0.5999999999999943,1636455600000
TEP.FR,-0.7000000000000455,1636455600000
BUR.FR,-2.0,1636455600000
ADYEN.NL,-6.5,1636455600000
ODET.FR,10.0,1636457400000
ADYEN.NL,9.0,1636457400000
RMS.FR,5.5,1636457400000
BUR.FR,2.0,1636457400000
TEP.FR,1.0,1636457400000
MC.FR,-0.599999999999909,1636457400000
SAF.FR,-0.6799999999999926,1636457400000
VETO.FR,-0.8000000000000114,1636457400000
ALFEN.NL,-1.3000000000000114,1636457400000
KER.FR,-2.1000000000000227,1636457400000
ADYEN.NL,17.0,1636459200000
ODET.FR,5.0,1636459200000
RMS.FR,4.5,1636459200000
MC.FR,2.400000000000091,1636459200000
TEP.FR,2.1000000000000227,1636459200000
PSH.NL,-0.15000000000000568,1636459200000
CCEP.NL,-0.1600000000000037,1636459200000
RIN.FR,-0.20000000000000284,1636459200000
VVY.NL,-0.20800000000000196,1636459200000
GLPG.NL,-0.3299999999999983,1636459200000
ADYEN.NL,15.0,1636461000000
GNE.FR,9.400000000000006,1636461000000
KER.FR,0.6000000000000227,1636461000000
GLPG.NL,0.45000000000000284,1636461000000
SAF.FR,0.4000000000000057,1636461000000
ALFEN.NL,-0.5999999999999943,1636461000000
EL.FR,-0.660000000000025,1636461000000
VETO.FR,-0.799999999999983,1636461000000
MC.FR,-1.7000000000000455,1636461000000
RMS.FR,-4.0,1636461000000
ADYEN.NL,7.5,1636462800000
KER.FR,2.6000000000000227,1636462800000
MC.FR,1.5,1636462800000
HEXA.FR,0.5,1636462800000
UBI.FR,0.30999999999999517,1636462800000
VETO.FR,-0.4000000000000057,1636462800000
CCEP.NL,-0.4399999999999977,1636462800000
SAF.FR,-0.480000000000004,1636462800000
RMS.FR,-1.5,1636462800000
GNE.FR,-3.0800000000000125,1636462800000
KER.FR,1.8999999999999773,1636464600000
VETO.FR,0.8000000000000114,1636464600000
HDG.NL,0.4000000000000057,1636464600000
TEP.FR,0.30000000000001137,1636464600000
SWP.FR,0.29999999999999716,1636464600000
ALFEN.NL,-0.5499999999999972,1636464600000
FLY.FR,-1.0,1636464600000
MC.FR,-1.0,1636464600000
RMS.FR,-1.5,1636464600000
ADYEN.NL,-19.0,1636464600000
ADYEN.NL,8.5,1636466400000
RMS.FR,6.0,1636466400000
MC.FR,1.1000000000000227,1636466400000
ALFEN.NL,0.6500000000000057,1636466400000
RI.FR,0.30000000000001137,1636466400000
WAGA.FR,-0.1999999999999993,1636466400000
GLPG.NL,-0.365000000000002,1636466400000
KER.FR,-0.40000000000009095,1636466400000
LIGHT.NL,-0.7199999999999989,1636466400000
GNE.FR,-1.8599999999999994,1636466400000
ADYEN.NL,9.0,1636468200000
RMS.FR,4.5,1636468200000
KER.FR,3.6000000000000227,1636468200000
MC.FR,2.699999999999932,1636468200000
MAJ.NL,0.5199999999999996,1636468200000
HDF.FR,-0.1999999999999993,1636468200000
FNAC.FR,-0.25,1636468200000
SAF.FR,-0.38000000000000966,1636468200000
RE.FR,-1.0,1636468200000
GNE.FR,-1.9200000000000017,1636468200000
KER.FR,2.5,1636470000000
SCHP.FR,0.6000000000000085,1636470000000
SW.FR,0.5999999999999943,1636470000000
GNE.FR,0.5,1636470000000
RI.FR,0.5,1636470000000
EL.FR,-0.3199999999999932,1636470000000
UBI.FR,-0.3200000000000003,1636470000000
RMS.FR,-0.5,1636470000000
BUR.FR,-2.0,1636470000000
ADYEN.NL,-19.0,1636470000000
CCEP.NL,1.3599999999999994,1636471800000
HDG.NL,0.4000000000000057,1636471800000
RI.FR,0.30000000000001137,1636471800000
ORP.FR,0.23999999999999488,1636471800000
UNA.NL,0.17500000000000426,1636471800000
MC.FR,-3.6000000000000227,1636471800000
KER.FR,-3.8999999999999773,1636471800000
RMS.FR,-8.0,1636471800000
ADYEN.NL,-36.0,1636471800000
TSL2.FR,-77.73509999999999,1636471800000
TEP.FR,0.6000000000000227,1636473600000
MF.FR,0.3999999999999915,1636473600000
SAF.FR,0.36000000000001364,1636473600000
LSS.FR,0.29999999999999716,1636473600000
LACR.FR,0.29999999999999716,1636473600000
MAJ.NL,-0.5,1636473600000
RI.FR,-0.5999999999999943,1636473600000
MC.FR,-0.6999999999999318,1636473600000
KER.FR,-1.6000000000000227,1636473600000
RMS.FR,-4.0,1636473600000
RMS.FR,4.0,1636475400000
TEP.FR,0.5999999999999659,1636475400000
LACR.FR,0.5,1636475400000
HDG.NL,0.4000000000000057,1636475400000
AKZA.NL,0.3500000000000085,1636475400000
VETO.FR,-0.39999999999997726,1636475400000
MF.FR,-0.3999999999999915,1636475400000
EL.FR,-0.46000000000000796,1636475400000
MC.FR,-0.7000000000000455,1636475400000
ADYEN.NL,-11.5,1636475400000
ADYEN.NL,5.0,1636477200000
THEP.FR,0.7999999999999972,1636477200000
ALFEN.NL,0.6500000000000057,1636477200000
LACR.FR,0.29999999999999716,1636477200000
VETO.FR,0.20000000000001705,1636477200000
GNE.FR,-1.4699999999999989,1636477200000
MC.FR,-1.7999999999999545,1636477200000
BUR.FR,-4.0,1636477200000
RMS.FR,-4.5,1636477200000
ODET.FR,-5.0,1636477200000
