TS,Mercato,25percentile,50percentile,75percentile
1636560000000,NL,-0.022520959865106528,0.020464433367558658,0.15289704778389207
1636560000000,FR,-0.036197038515468814,0.01461828892139524,0.36672518463283627
1636563600000,NL,-0.017784532391187116,0.010491971306833318,0.08489545286782876
1636563600000,FR,-0.05025235151310198,0.0023892878845939965,0.05494014516591888
1636621200000,FR,-0.09654981455606741,-0.021187335697121955,0.07088439197328651
1636621200000,NL,-0.1886476482051579,-0.0012050031118235952,0.050671202573407695
1636624800000,NL,-0.04295898660998861,0.019734557132317386,0.051316490572563475
1636624800000,FR,-0.066259170231933,-0.011593920796110022,0.09689994185471083
1636628400000,NL,-0.05675934184557152,-0.011772884286790443,0.005317440074937457
1636628400000,FR,-0.07212550938040214,-0.008778141425963868,0.034999655822186046
1636632000000,FR,-0.10216260219844958,-0.012793830233861369,0.002480222984144187
1636632000000,NL,-0.0388421776238289,-0.0027312135487568387,0.1735702663836083
1636635600000,NL,-0.058199078037305785,-0.0034280504456162906,0.04414953295411992
1636635600000,FR,-0.042108064111059065,-0.00028202878113460094,0.022785136064862814
1636639200000,FR,0.004288359705756336,0.014231082701032695,0.0942055254453742
1636639200000,NL,-0.04681850289212752,0.01179096917998149,0.059607887442480224
1636642800000,NL,-0.030280833553112924,0.012481899312160406,0.050049644084254656
1636642800000,FR,-0.13348751596902236,-0.0015836027973600937,0.049081874223029606
1636646400000,FR,-0.045853465083916536,0.00316362037851333,0.05136047624444452
1636646400000,NL,-0.059605139820328557,0.0031891636113141725,0.026621393877507827
1636650000000,NL,-0.0022480854804293043,0.022682297776844305,0.0823064174332357
1636650000000,FR,-0.05241163132424479,0.013800826969415652,0.14047902045206953
1636707600000,NL,-0.12704190757966144,-0.0036793366856292045,0.0316958920142048
1636707600000,FR,-0.07763921810900308,0.0069759387385737275,0.0928956699485224
1636711200000,NL,-0.030625660165978022,0.0066585315457331875,0.07545745992943878
1636711200000,FR,-0.1038072410436626,0.025218556281017067,0.1014347885381278
1636714800000,FR,-0.025181415024697586,0.003391964806185455,0.12853425304597366
1636714800000,NL,-0.02028891231577911,0.009401004225533669,0.06060118413148946
1636718400000,NL,-0.02255460161823951,0.0026798231646572843,0.04891788626954918
1636718400000,FR,-0.04431636019590956,-0.004371499782546198,0.13746887725784637
1636722000000,NL,-0.011701984773545239,0.008648138718649317,0.043027332517248086
1636722000000,FR,-0.04607776292331027,-0.0031353577846310937,0.013989426966384291
1636725600000,NL,-0.03740534921434711,0.0008038733463081658,0.005274170045398506
1636725600000,FR,-0.06854934303056892,-0.0006731366507781321,0.0215413054744334
